Dosya_Adi,Payload_Bit,Toplam_Piksel,Guvenli_Piksel(K),Daralma_Orani(%),ABC_Suresi_sn,MSE,PSNR_dB,SSIM
4609.pgm,10000,65536,31680,48.3398,0.07875,0.075729,59.3382,0.999832
4610.pgm,10000,65536,39536,60.3271,0.08634,0.075729,59.3382,0.999903
4611.pgm,10000,65536,21808,33.2764,0.04781,0.075653,59.3425,0.999811
4612.pgm,10000,65536,32432,49.4873,0.03375,0.076782,59.2782,0.999879
4613.pgm,10000,65536,10320,15.7471,0.02591,0.076477,59.2955,0.999808
4614.pgm,10000,65536,41872,63.8916,0.02668,0.074341,59.4185,0.99988
4615.pgm,10000,65536,46368,70.752,0.02558,0.075684,59.3408,0.999797
4616.pgm,10000,65536,55840,85.2051,0.02637,0.077591,59.2327,0.999862
4617.pgm,10000,65536,54432,83.0566,0.02888,0.076065,59.319,0.999846
4618.pgm,10000,65536,26992,41.1865,0.03321,0.076065,59.319,0.999793
4619.pgm,10000,65536,17840,27.2217,0.17796,0.076355,59.3024,0.999799
4620.pgm,10000,65536,32544,49.6582,0.03615,0.076035,59.3207,0.999818
4621.pgm,10000,65536,19920,30.3955,0.0232,0.077286,59.2498,0.999756
4622.pgm,10000,65536,37808,57.6904,0.0209,0.076385,59.3007,0.999834
4623.pgm,10000,65536,19728,30.1025,0.01734,0.077179,59.2558,0.999796
4624.pgm,10000,65536,37152,56.6895,0.01802,0.076248,59.3085,0.999907
4625.pgm,10000,65536,58000,88.501,0.01973,0.076355,59.3024,0.999902
4626.pgm,10000,65536,37024,56.4941,0.01866,0.074707,59.3972,0.999859
4627.pgm,10000,65536,16528,25.2197,0.01851,0.077286,59.2498,0.999814
4628.pgm,10000,65536,20352,31.0547,0.02058,0.076004,59.3224,0.999801
4629.pgm,10000,65536,57344,87.5,0.02862,0.076721,59.2817,0.999906
4630.pgm,10000,65536,43200,65.918,0.05223,0.076874,59.273,0.999857
4631.pgm,10000,65536,47744,72.8516,0.1124,0.076248,59.3085,0.999839
4633.pgm,10000,65536,18288,27.9053,0.05419,0.076935,59.2696,0.999744
4634.pgm,10000,65536,37696,57.5195,0.04163,0.076523,59.2929,0.999811
4635.pgm,10000,65536,23072,35.2051,0.03569,0.076141,59.3146,0.999798
4636.pgm,10000,65536,31328,47.8027,0.03373,0.075882,59.3294,0.999871
4637.pgm,10000,65536,53504,81.6406,0.03378,0.075897,59.3285,0.999901
4638.pgm,10000,65536,25472,38.8672,0.02691,0.075745,59.3373,0.99984
4639.pgm,10000,65536,59872,91.3574,0.03098,0.077393,59.2438,0.99991
4640.pgm,10000,65536,49088,74.9023,0.0329,0.075348,59.3601,0.999909
4642.pgm,10000,65536,14736,22.4854,0.03151,0.075363,59.3592,0.999827
4643.pgm,10000,65536,34176,52.1484,0.04574,0.076157,59.3137,0.999799
4644.pgm,10000,65536,63936,97.5586,0.06242,0.076096,59.3172,0.999876
4645.pgm,10000,65536,42928,65.5029,0.05495,0.076859,59.2739,0.999836
4646.pgm,10000,65536,23488,35.8398,0.04696,0.076279,59.3068,0.999783
4647.pgm,10000,65536,13280,20.2637,0.04086,0.075134,59.3724,0.999757
